Date,Description,Amount,Type,Balance
04/30/2026,PAYROLL DEPOSIT ACME CORP,4250.00,Credit,8412.55
04/29/2026,WHOLE FOODS MARKET 10324,-87.32,Sale,4162.55
04/28/2026,SHELL OIL 575743821,-48.10,Sale,4249.87
04/27/2026,NETFLIX.COM,-15.49,Sale,4297.97
04/26/2026,STARBUCKS STORE 04621,-6.25,Sale,4313.46
04/25/2026,VENMO CASHOUT JOHN S,75.00,Credit,4319.71
04/24/2026,DELTA AIR LINES,-412.80,Sale,4244.71
04/23/2026,CHASE CREDIT CRD AUTOPAY,-540.18,Sale,4657.51
04/22/2026,WHOLE FOODS MARKET 10324,-62.18,Sale,5197.69
04/21/2026,SPOTIFY USA,-10.99,Sale,5259.87
04/20/2026,UBER TRIP,-22.40,Sale,5270.86
04/19/2026,RENT - PROPERTY MGMT LLC,-1850.00,Sale,5293.26
04/18/2026,AMAZON MKTPLACE 4FT2H,-43.99,Sale,7143.26
04/17/2026,TARGET 00021354,-118.74,Sale,7187.25
04/15/2026,APPLE.COM/BILL,-2.99,Sale,7305.99
